Proton-Vanilla Config Options | Valve,,,
,,,
,,,
Compat config string,Environment Variable,Description,Vendor Specific
,PROTON_LOG,"Convenience method for dumping a useful debug log to $PROTON_LOG_DIR/steam-$APPID.log. Set to 1 to enable default logging, or set to a string to be appended to the default WINEDEBUG channels.",debugging
,PROTON_LOG_DIR,Output log files into the directory specified. Defaults to your home directory.,debugging
,PROTON_WAIT_ATTACH,"Wait for a debugger to attach to steam.exe before launching the game process. To attach to the game process at startup, debuggers should be set to follow child processes.",debugging
,PROTON_CRASH_REPORT_DIR,"Write crash logs into this directory. Does not clean up old logs, so may eat all your disk space eventually.",debugging
wined3d,PROTON_USE_WINED3D,"Use OpenGL-based wined3d instead of Vulkan-based DXVK for d3d11, d3d10, and d3d9.",debugging
nod3d11,PROTON_NO_D3D11,"Disable d3d11.dll, for d3d11 games which can fall back to and run better with d3d9.",debugging
nod3d10,PROTON_NO_D3D10,"Disable d3d10.dll and dxgi.dll, for d3d10 games which can fall back to and run better with d3d9.",debugging
dxvkd3d8,PROTON_DXVK_D3D8,Use DXVK's d3d8.dll.,debugging
noesync,PROTON_NO_ESYNC,Do not use eventfd-based in-process synchronization primitives.,debugging
nofsync,PROTON_NO_FSYNC,Do not use futex-based in-process synchronization primitives. (Automatically disabled on systems with no FUTEX_WAIT_MULTIPLE support.),debugging
noxim,PROTON_NO_XIM,Enabled by default. Do not attempt to use XIM (X Input Methods) support. XIM support is known to cause crashes with libx11 older than version 1.7.,debugging
disablenvapi,PROTON_DISABLE_NVAPI,Disable NVIDIA's NVAPI GPU support library.,debugging
nativevulkanloader,,"Use the Vulkan loader shipped with the game instead of Proton's built-in Vulkan loader. This breaks VR support, but is required by a few games.",debugging
forcelgadd,PROTON_FORCE_LARGE_ADDRESS_AWARE,Force Wine to enable the LARGE_ADDRESS_AWARE flag for all executables. Enabled by default.,dafault
heapdelayfree,PROTON_HEAP_DELAY_FREE,"Delay freeing some memory, to work around application use-after-free bugs.",debugging
gamedrive,PROTON_SET_GAME_DRIVE,Create an S: drive which points to the Steam Library which contains the game.,
noforcelgadd,,"Disable forcelgadd. If both this and forcelgadd are set, enabled wins.",
oldglstr,PROTON_OLD_GL_STRING,"Set some driver overrides to limit the length of the GL extension string, for old games that crash on very long extension strings.",debugging
vkd3dfl12,,"Force the Direct3D 12 feature level to 12, regardless of driver support.",debugging
vkd3dbindlesstb,,Put force_bindless_texel_buffer into VKD3D_CONFIG.,debugging
nomfdxgiman,WINE_DO_NOT_CREATE_DXGI_DEVICE_MANAGER,Enable hack to work around video issues in some games due to incomplete IMFDXGIDeviceManager support.,debugging
noopwr,WINE_DISABLE_VULKAN_OPWR,Enable hack to disable Vulkan other process window rendering which sometimes causes issues on Wayland due to blit being one frame behind.,debugging
